time,issue_id,event_id,type,author,action,url
2025-12-08 14:30:49+00:00,60,21428289232,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/60
2025-12-08 14:30:49+00:00,60,21428289336,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/60
2025-12-08 14:30:47+00:00,59,21428288172,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/59
2025-12-08 14:30:47+00:00,59,21428288247,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/59
2025-12-08 14:30:47+00:00,59,21428288319,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/59
2025-12-08 14:30:47+00:00,59,21428288415,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/59
2025-12-08 14:30:44+00:00,58,21428287093,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/58
2025-12-08 14:30:44+00:00,58,21428287158,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/58
2025-12-08 14:30:44+00:00,58,21428287225,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/58
2025-12-08 14:30:42+00:00,57,21428286170,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/57
2025-12-08 14:30:42+00:00,57,21428286243,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/57
2025-12-08 14:30:42+00:00,57,21428286324,label,Sebastienlejeune,labeled Trust Goal,https://github.com/ospo-alliance/my-ggi-board/issues/57
2025-12-08 14:30:39+00:00,56,21428285250,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/56
2025-12-08 14:30:39+00:00,56,21428285330,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/56
2025-12-08 14:30:40+00:00,56,21428285405,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/56
2025-12-08 14:30:37+00:00,55,21428284569,label,Sebastienlejeune,labeled Decision Maker,https://github.com/ospo-alliance/my-ggi-board/issues/55
2025-12-08 14:30:37+00:00,55,21428284617,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/55
2025-12-08 14:30:38+00:00,55,21428284686,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/55
2025-12-08 14:30:34+00:00,54,21428283314,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/54
2025-12-08 14:30:34+00:00,54,21428283425,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/54
2025-12-08 14:30:35+00:00,54,21428283528,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/54
2025-12-08 14:30:32+00:00,53,21428281675,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/53
2025-12-08 14:30:32+00:00,53,21428281803,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/53
2025-12-08 14:30:33+00:00,53,21428281986,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/53
2025-12-08 14:30:29+00:00,52,21428280457,label,Sebastienlejeune,labeled Developer,https://github.com/ospo-alliance/my-ggi-board/issues/52
2025-12-08 14:30:29+00:00,52,21428280541,label,Sebastienlejeune,labeled Team Leader,https://github.com/ospo-alliance/my-ggi-board/issues/52
2025-12-08 14:30:30+00:00,52,21428280617,label,Sebastienlejeune,labeled Not Selected,https://github.com/ospo-alliance/my-ggi-board/issues/52
2025-12-08 14:30:30+00:00,52,21428280682,label,Sebastienlejeune,labeled Usage Goal,https://github.com/ospo-alliance/my-ggi-board/issues/52
